Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region
10202,2024-10-30,Sports,Wilson Evolution Basketball,12,32.75,393.00,Middle East
10203,2024-12-07,Books,The Alchemist,2,14.18,28.36,Oceania
10204,2024-08-25,Home Appliances,Philips Air Fryer XXL,2,239.56,479.12,South America
10205,2024-12-17,Sports,Babolat Pure Drive Tennis Racket,9,188.17,1693.53,Europe
10206,2024-03-28,Beauty Products,Neutrogena Skincare Set,16,97.64,1562.24,North America
10207,2025-08-04,Sports,Everlast Boxing Gloves,6,50.46,302.76,Africa
10208,2025-08-04,Beauty Products,The Ordinary Serum Set,8,39.95,319.60,North America
10209,2025-08-18,Beauty Products,Maybelline Makeup Kit,8,50.36,402.88,Asia
10210,2025-09-10,Electronics,Garmin Forerunner 945,2,451.50,903.00,Asia
10211,2024-06-17,Beauty Products,Chanel No. 5 Perfume,15,134.54,2018.10,South America
10212,2025-11-27,Home Appliances,Ninja Professional Blender,6,101.17,607.02,Africa
10213,2025-10-03,Clothing,Under Armour Training Shirt,9,43.86,394.74,Middle East
10214,2025-04-16,Home Appliances,Philips Air Fryer XXL,3,225.94,677.82,North America
10215,2024-10-24,Sports,Manduka PRO Yoga Mat,19,128.69,2445.11,Oceania
10216,2025-07-25,Home Appliances,Philips Air Fryer XXL,5,259.33,1296.65,Europe
10217,2025-09-12,Home Appliances,Philips Air Fryer XXL,18,230.76,4153.68,North America
10218,2025-05-04,Books,Dune by Frank Herbert,16,26.66,426.56,Middle East
10219,2025-12-02,Beauty Products,Maybelline Makeup Kit,17,54.42,925.14,North America
10220,2024-09-13,Sports,Hydro Flask Sports Bottle,1,41.19,41.19,South America
10221,2024-04-24,Electronics,Apple Watch Series 9,8,468.12,3744.96,Africa
10222,2025-02-14,Sports,Hydro Flask Sports Bottle,19,37.43,711.17,Middle East
10223,2025-02-21,Beauty Products,Neutrogena Skincare Set,1,87.16,87.16,Middle East
10224,2025-01-28,Home Appliances,Philips Air Fryer XXL,19,229.85,4367.15,Middle East
10225,2024-03-21,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",20,35.99,719.80,Middle East
10226,2025-06-06,Books,Dune by Frank Herbert,3,24.05,72.15,Africa
10227,2025-02-09,Beauty Products,L'Oreal Revitalift Cream,5,29.44,147.20,Europe
10228,2025-02-18,Electronics,Canon EOS R10 Camera,20,939.91,18798.20,South America
10229,2024-06-05,Books,The Da Vinci Code,15,16.27,244.05,North America
10230,2024-08-03,Home Appliances,LG Front Load Washer,15,955.74,14336.10,Oceania
10231,2024-07-14,Books,The Psychology of Money,15,18.96,284.40,Middle East
10232,2025-02-09,Clothing,Puma Sports Hoodie,15,78.58,1178.70,Asia
10233,2024-03-15,Books,The Psychology of Money,11,19.13,210.43,North America
10234,2024-07-11,Beauty Products,The Ordinary Serum Set,1,37.63,37.63,Middle East
10235,2025-11-28,Clothing,Under Armour Training Shirt,8,42.93,343.44,Middle East
10236,2024-05-05,Clothing,North Face Down Jacket,4,236.48,945.92,South America
10237,2025-05-14,Beauty Products,Maybelline Makeup Kit,18,48.94,880.92,Africa
10238,2025-07-08,Beauty Products,L'Oreal Revitalift Cream,18,30.22,543.96,Asia
10239,2025-06-11,Sports,Callaway Golf Club Set,12,965.80,11589.60,Asia
10240,2024-05-15,Home Appliances,Keurig K-Elite Coffee Maker,17,182.47,3101.99,Middle East
10241,2025-04-04,Beauty Products,CeraVe Hydrating Cleanser,10,17.74,177.40,Asia
10242,2025-01-04,Sports,Hydro Flask Sports Bottle,5,39.55,197.75,Asia
10243,2024-07-21,Sports,Spalding Volleyball,2,35.77,71.54,Middle East
10244,2025-09-03,Electronics,Google Pixel 8 Pro,17,967.48,16447.16,Europe
10245,2024-07-31,Books,Atomic Habits,18,21.52,387.36,Africa
10246,2024-08-17,Clothing,Patagonia Fleece Jacket,17,174.60,2968.20,Europe
10247,2024-07-09,Books,The Alchemist,8,11.73,93.84,Africa
10248,2024-02-15,Books,Sapiens,20,26.95,539.00,Europe
10249,2024-10-27,Home Appliances,KitchenAid Stand Mixer,19,439.00,8341.00,Oceania
10250,2025-10-17,Sports,Wilson Evolution Basketball,4,28.41,113.64,South America
10251,2025-07-21,Books,Deep Work,13,18.89,245.57,Oceania
10252,2024-10-29,Home Appliances,Samsung Smart Refrigerator,17,1782.00,30294.00,North America
10253,2024-01-12,Beauty Products,Chanel No. 5 Perfume,4,120.03,480.12,Asia
10254,2024-03-11,Electronics,Canon EOS R10 Camera,20,950.00,19000.00,Africa
10255,2024-01-17,Sports,Babolat Pure Drive Tennis Racket,14,189.39,2651.46,Europe
10256,2024-03-30,Electronics,Samsung Galaxy Tab S8,3,789.25,2367.75,Middle East
10257,2025-05-15,Home Appliances,Philips Air Fryer XXL,14,229.97,3219.58,North America
10258,2025-02-24,Home Appliances,KitchenAid Stand Mixer,16,435.67,6970.72,South America
10259,2025-11-14,Electronics,Samsung Galaxy Tab S8,12,710.49,8525.88,Asia
10260,2024-09-12,Books,Dune by Frank Herbert,18,27.53,495.54,Asia
10261,2025-07-23,Home Appliances,Blueair Classic 480i,1,622.28,622.28,Asia
10262,2025-03-19,Electronics,Canon EOS R10 Camera,16,894.01,14304.16,Asia
10263,2025-04-22,Clothing,Nike Air Force 1,2,88.33,176.66,Asia
10264,2025-03-25,Sports,Babolat Pure Drive Tennis Racket,9,208.50,1876.50,Africa
10265,2025-11-06,Home Appliances,Samsung Smart Refrigerator,4,1843.02,7372.08,South America
10266,2024-08-18,Electronics,MacBook Pro 16-inch,20,2553.18,51063.60,Europe
10267,2024-06-06,Clothing,Under Armour Training Shirt,4,41.55,166.20,Europe
10268,2024-12-03,Electronics,Apple Watch Series 9,3,436.69,1310.07,Africa
10269,2025-12-15,Clothing,Columbia Rain Jacket,14,139.29,1950.06,Oceania
10270,2025-10-03,Beauty Products,L'Oreal Revitalift Cream,8,31.44,251.52,Africa
10271,2025-05-16,Beauty Products,Dyson Supersonic Hair Dryer,17,423.03,7191.51,North America
10272,2025-09-20,Beauty Products,MAC Lipstick Collection,9,80.43,723.87,Europe
10273,2025-05-12,Books,The Psychology of Money,7,18.74,131.18,Oceania
10274,2025-11-05,Sports,Hydro Flask Sports Bottle,15,37.29,559.35,Oceania
10275,2024-10-11,Beauty Products,L'Oreal Revitalift Cream,9,28.86,259.74,Oceania
10276,2025-11-22,Beauty Products,CeraVe Hydrating Cleanser,1,20.58,20.58,Africa
10277,2024-09-17,Beauty Products,Maybelline Makeup Kit,11,52.27,574.97,Middle East
10278,2025-06-20,Electronics,Dell XPS 13 Laptop,13,1338.20,17396.60,Africa
10279,2024-11-14,Books,Deep Work,13,19.66,255.58,Europe
10280,2024-01-18,Books,Clean Code,19,38.59,733.21,Asia
10281,2025-05-22,Clothing,Levi's 501 Jeans,12,68.40,820.80,Europe
10282,2024-07-30,Clothing,Vans Old Skool Sneakers,1,77.75,77.75,Asia
10283,2025-11-30,Electronics,Google Pixel 8 Pro,1,1072.72,1072.72,Europe
10284,2025-08-06,Beauty Products,The Ordinary Serum Set,2,36.92,73.84,Europe
10285,2024-03-30,Books,The Psychology of Money,13,17.27,224.51,Oceania
10286,2025-07-14,Sports,Callaway Golf Club Set,1,847.11,847.11,North America
10287,2024-08-20,Electronics,Garmin Forerunner 945,6,454.96,2729.76,Europe
10288,2025-10-21,Beauty Products,The Ordinary Serum Set,15,36.82,552.30,Africa
10289,2025-01-30,Beauty Products,The Ordinary Serum Set,20,36.43,728.60,South America
10290,2024-09-07,Electronics,Apple Watch Series 9,8,397.01,3176.08,North America
10291,2025-02-13,Electronics,Samsung Galaxy Tab S8,19,806.15,15316.85,Middle East
10292,2025-06-10,Books,The Da Vinci Code,5,15.80,79.00,Oceania
10293,2024-03-23,Beauty Products,Neutrogena Skincare Set,10,88.35,883.50,Europe
10294,2025-03-27,Beauty Products,Clinique Moisture Surge,7,48.87,342.09,Asia
10295,2024-03-27,Clothing,North Face Down Jacket,9,256.97,2312.73,Africa
10296,2024-04-01,Home Appliances,iRobot Roomba j7,13,678.05,8814.65,North America
10297,2024-09-15,Books,Deep Work,14,20.21,282.94,Asia
10298,2025-04-17,Sports,Manduka PRO Yoga Mat,1,114.89,114.89,Oceania
10299,2025-04-23,Electronics,MacBook Pro 16-inch,14,2345.84,32841.76,Middle East
10300,2024-01-22,Books,The Alchemist,20,12.08,241.60,Europe
10301,2025-02-26,Home Appliances,Instant Pot Duo 7-in-1,1,140.04,140.04,South America
10302,2024-09-16,Books,Sapiens,3,24.29,72.87,North America
10303,2024-10-07,Electronics,Dell XPS 13 Laptop,19,1344.20,25539.80,Europe
10304,2024-06-23,Beauty Products,CeraVe Hydrating Cleanser,7,18.38,128.66,North America
10305,2024-11-03,Clothing,Calvin Klein Slim Fit Shirt,18,82.99,1493.82,Africa
10306,2024-06-09,Electronics,Garmin Forerunner 945,15,505.81,7587.15,Oceania
10307,2024-04-01,Home Appliances,Keurig K-Elite Coffee Maker,5,178.37,891.85,Europe
10308,2025-01-31,Sports,Babolat Pure Drive Tennis Racket,13,190.05,2470.65,Middle East
10309,2025-04-27,Books,The Hobbit,7,14.05,98.35,South America
10310,2025-11-13,Clothing,Vans Old Skool Sneakers,3,86.54,259.62,Africa
10311,2025-05-14,Home Appliances,iRobot Roomba j7,10,688.77,6887.70,Oceania
10312,2024-10-16,Beauty Products,Neutrogena Skincare Set,18,87.20,1569.60,South America
10313,2024-07-05,Sports,Callaway Golf Club Set,16,924.32,14789.12,North America
10314,2024-04-17,Clothing,North Face Down Jacket,9,247.70,2229.30,Oceania
10315,2024-01-18,Sports,Babolat Pure Drive Tennis Racket,7,192.27,1345.89,Europe
10316,2024-07-21,Sports,Fitbit Charge 6,3,159.31,477.93,Europe
10317,2024-12-15,Clothing,North Face Down Jacket,2,271.29,542.58,Europe
10318,2024-07-11,Books,Dune by Frank Herbert,7,26.79,187.53,Africa
10319,2024-08-17,Electronics,iPhone 14 Pro,11,940.40,10344.40,Middle East
10320,2025-11-20,Clothing,Nike Air Force 1,9,89.97,809.73,Africa
10321,2025-03-09,Books,The Hobbit,18,15.73,283.14,South America
10322,2025-09-04,Electronics,Dell XPS 13 Laptop,19,1356.44,25772.36,Middle East
10323,2025-02-07,Books,Sapiens,2,25.62,51.24,Europe
10324,2025-04-19,Clothing,Adidas Ultraboost Shoes,18,206.62,3719.16,Africa
10325,2025-12-02,Sports,Everlast Boxing Gloves,12,52.97,635.64,Africa
10326,2025-01-10,Electronics,iPhone 14 Pro,14,993.13,13903.82,Middle East
10327,2024-07-12,Electronics,Google Pixel 8 Pro,2,994.47,1988.94,Oceania
10328,2025-04-07,Sports,Spalding Volleyball,13,32.33,420.29,Middle East
10329,2025-07-04,Clothing,Nike Air Force 1,9,83.11,747.99,Asia
10330,2024-08-19,Home Appliances,Ninja Professional Blender,9,109.71,987.39,Asia
